NAMESPACE     NAME                        APPLIES-TO                                                                                 DESCRIPTION
default       auto-scaffold-bootstrap     ["webservice-shape"]                                                                       Trait that, when attached to a webservice-shape component, fires the oam-driven-contract Argo workflow to scaffold a source repo + build pipeline for a given language/framework. This is the bootstrap concern extracted from the monolithic webservice CD as part of the S3 modularization. Apply to webservice-shape components only....
default       ingress                     ["webservice"]                                                                             Configure ingress routing for web services
vela-system   affinity                    ["deployments.apps","statefulsets.apps","daemonsets.apps","jobs.batch"]                    Affinity specifies affinity and toleration K8s pod for your workload which follows the pod spec in path 'spec.template'.
vela-system   annotations                 ["*"]                                                                                      Add annotations on your workload. If it generates pod or job, add same annotations for generated pods.
vela-system   command                     ["deployments.apps","statefulsets.apps","daemonsets.apps","jobs.batch"]                    Add command on K8s pod for your workload which follows the pod spec in path 'spec.template'
vela-system   configmap                   ["*"]                                                                                      Create/Attach configmaps on K8s pod for your workload which follows the pod spec in path 'spec.template'. This definition is DEPRECATED, please specify configmap in 'storage' instead.
vela-system   container-image             ["deployments.apps","statefulsets.apps","daemonsets.apps","jobs.batch"]                    Set the image of the container.
vela-system   container-ports             ["deployments.apps","statefulsets.apps","daemonsets.apps","jobs.batch"]                    Expose on the host and bind the external port to host to enable web traffic for your component.
vela-system   cpuscaler                   ["deployments.apps","statefulsets.apps"]                                                   Automatically scale the component based on CPU usage.
vela-system   env                         ["deployments.apps","statefulsets.apps","daemonsets.apps","jobs.batch"]                    Add env on K8s pod for your workload which follows the pod spec in path 'spec.template'
vela-system   expose                      ["deployments.apps","statefulsets.apps"]                                                   Expose port to enable web traffic for your component.
vela-system   gateway                     ["deployments.apps","statefulsets.apps"]                                                   Enable public web traffic for the component, the ingress API matches K8s v1.20+.
vela-system   hostalias                   ["deployments.apps","statefulsets.apps","daemonsets.apps","jobs.batch"]                    Add host aliases on K8s pod for your workload which follows the pod spec in path 'spec.template'.
vela-system   hpa                         ["deployments.apps","statefulsets.apps"]                                                   Configure k8s HPA for Deployment or Statefulsets
vela-system   ingress                                                                                                                Enable public web traffic for the component.
vela-system   ingress-1-20                                                                                                           Enable public web traffic for the component, the ingress API matches K8s v1.20+.
vela-system   init-container              ["deployments.apps","statefulsets.apps","daemonsets.apps","jobs.batch"]                    add an init container and use shared volume with pod
vela-system   json-merge-patch            ["*"]                                                                                      Patch the output following Json Merge Patch strategy, following RFC 7396.
vela-system   json-patch                  ["*"]                                                                                      Patch the output following Json Patch strategy, following RFC 6902.
vela-system   k8s-update-strategy         ["deployments.apps","statefulsets.apps","daemonsets.apps"]                                 Set k8s update strategy for Deployment/DaemonSet/StatefulSet
vela-system   labels                      ["*"]                                                                                      Add labels on your workload. if it generates pod, add same label for generated pods.
vela-system   lifecycle                   ["deployments.apps","statefulsets.apps","daemonsets.apps","jobs.batch"]                    Add lifecycle hooks for every container of K8s pod for your workload which follows the pod spec in path 'spec.template'.
vela-system   nocalhost                   ["deployments.apps","statefulsets.apps","daemonsets.apps","jobs.batch"]                    nocalhost develop configuration.
vela-system   node-affinity               ["*"]                                                                                      affinity specify node affinity and toleration on K8s pod for your workload which follows the pod spec in path 'spec.template'.
vela-system   podsecuritycontext          ["deployments.apps","statefulsets.apps","daemonsets.apps","jobs.batch"]                    Adds security context to the pod spec in path 'spec.template.spec.securityContext'.
vela-system   pure-ingress                ["*"]                                                                                      Enable public web traffic for the component without creating a Service.
vela-system   pvc                         ["deployments.apps"]                                                                       Create a Persistent Volume Claim and mount the PVC as volume to the  first container in the pod. This definition is DEPRECATED, please specify pvc in 'storage' instead.
vela-system   resource                    ["deployments.apps","statefulsets.apps","daemonsets.apps","jobs.batch","cronjobs.batch"]   Add resource requests and limits on K8s pod for your workload which follows the pod spec in path 'spec.template.'
vela-system   scaler                      ["deployments.apps","statefulsets.apps"]                                                   Manually scale K8s pod for your workload which follows the pod spec in path 'spec.template'.
vela-system   securitycontext             ["deployments.apps","statefulsets.apps","daemonsets.apps","jobs.batch"]                    Adds security context to the container spec in path 'spec.template.spec.containers.[].securityContext'.
vela-system   service-account             ["deployments.apps","statefulsets.apps","daemonsets.apps","jobs.batch"]                    Specify serviceAccount for your workload which follows the pod spec in path 'spec.template'.
vela-system   service-binding             ["deployments.apps","statefulsets.apps","daemonsets.apps","jobs.batch"]                    Binding secrets of cloud resources to component env. This definition is DEPRECATED, please use 'storage' instead.
vela-system   sidecar                     ["deployments.apps","statefulsets.apps","daemonsets.apps","jobs.batch"]                    Inject a sidecar container to K8s pod for your workload which follows the pod spec in path 'spec.template'.
vela-system   startup-probe               ["deployments.apps","statefulsets.apps","daemonsets.apps","jobs.batch"]                    Add startup probe hooks for the specified container of K8s pod for your workload which follows the pod spec in path 'spec.template'.
vela-system   storage                     ["deployments.apps","statefulsets.apps","daemonsets.apps","jobs.batch"]                    Add storages on K8s pod for your workload which follows the pod spec in path 'spec.template'.
vela-system   topologyspreadconstraints   ["deployments.apps","statefulsets.apps","daemonsets.apps","jobs.batch"]                    Add topology spread constraints hooks for every container of K8s pod for your workload which follows the pod spec in path 'spec.template'.
vela-system   volumes                     ["deployments.apps"]                                                                       Add volumes on K8s pod for your workload which follows the pod spec in path 'spec.template'. This definition is DEPRECATED, please use 'storage' instead.
